subject,H,F,HF_diff,J,HJ_diff
1,15.3,15,0.3,22.5,-7.2
2,22.4,23.8,-1.4,27.6,-5.2
3,19.6,26.4,-6.8,24.6,-5
4,30.7,28.1,2.6,31.5,-0.8
5,21.7,25.4,-3.7,29.7,-8
6,27.5,25.3,2.2,26.2,1.3
7,17.1,22.8,-5.7,20.8,-3.7
8,19.8,24,-4.2,29,-9.2
9,25.6,28.6,-3,23.7,1.9
10,35.4,32.3,3.1,35.7,-0.3
11,22.8,24.3,-1.5,20.2,2.6
12,25.6,26.4,-0.8,32.2,-6.6
13,17.9,20.2,-2.3,20.9,-3
14,14.5,16.6,-2.1,21.7,-7.2
15,22.1,23,-0.9,28.9,-6.8
16,24.1,22.1,2,25.7,-1.6
17,20.8,22.1,-1.3,20.8,0
18,19.6,18.7,0.9,21.3,-1.7
19,24.7,21.4,3.3,26.8,-2.1
20,24.1,27.4,-3.3,28.3,-4.2
21,31.9,32.5,-0.6,28.2,3.7
22,18.2,20.8,-2.6,24.4,-6.2
23,28.7,26,2.7,25.3,3.4
24,19.6,21.6,-2,23.4,-3.8
25,20.6,24.6,-4,23,-2.4
26,27.4,32.3,-4.9,26.6,0.8
27,30.2,31.7,-1.5,25.8,4.4
28,36.6,37.8,-1.2,32.2,4.4
29,29.6,31.4,-1.8,24.7,4.9
30,29.2,34.7,-5.5,27.1,2.1
31,27.5,27.8,-0.3,27.2,0.3
32,32.4,38.8,-6.4,29.9,2.5
33,34.3,31.5,2.8,31.2,3.1
34,17.6,24.4,-6.8,21.5,-3.9
35,26.7,29.7,-3,23.8,2.9
36,27.6,25.9,1.7,25.7,1.9
37,16.1,19.1,-3,13.9,2.2
38,19.47,16.4,3.07,21.2,-1.73
39,17.1,22,-4.9,21.4,-4.3
40,33.8,31.6,2.2,29,4.8
41,23.6,19.1,4.5,20.4,3.2
42,21.4,12.7,8.7,21.2,0.2
43,21.4,12.7,8.7,21.2,0.2
44,20.5,17.7,2.8,23.2,-2.7
45,23.6,19.1,4.5,20.4,3.2
46,31.4,31.7,-0.3,32.2,-0.8